,3'Flank,3'UTR,5'Flank,5'UTR,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site
SBS53,0.0003857858811193343,0.00046772534533759776,0.0007598677713556206,0.0004669326202000825,0.000986276902714955,0.0031468133464963937,0.0005605428520852313,0.0003917828346036973,0.001293078459354884,0.0013396647454968899,0.000920729343568459,0.0006241290017940419
SBS54,0.00029305135805845323,0.0005506218087232425,0.0019141643225666482,0.04154548492567668,0.0843906196428331,1.5061370737624566,0.0025880404342552964,0.0029565857792711145,0.001593145134781312,0.6444962782777502,0.10341214337079387,0.0034449774453249662
SBS55,0.00045506998981280437,0.0005400060400848753,0.0007209911230631445,0.0004375287700646775,0.0008839570705904525,0.003823341722826506,0.0004902974482806278,0.0003881874216164131,0.000923699318008,0.0012223384826418064,0.0010727114834387398,0.0004823539910251089
SBS56,0.0004975564813742824,0.0007884458200959961,0.004065320372720453,1.2226552059565958,0.41300363197099393,0.020464414931188436,0.0009214493448034932,0.0006219407421393586,0.001627021072871858,0.0023988822436442465,0.0017085567502896457,0.0011051647445961587
SBS57,0.00043895317713083247,0.0005238745992975963,0.0006864960295711312,0.0004123002190341033,0.0009229078834136954,0.004062364091982407,0.0004818918817734249,0.00036277405181074505,0.0009131179387660364,0.0011809422132596772,0.000944711937510969,0.00047650391859327526
SBS58,0.0004328112754848739,0.0005019276881138554,0.0006894004918738257,0.0004055898808895805,0.0008789978253334395,0.0036578501995968415,0.00046209453297477615,0.0003367907043645951,0.0009716095852596032,0.0011543220270690468,0.000947831898777933,0.000467319800517071
SBS59,0.0004095310454698374,0.0005055491084364416,0.0011535768073168513,0.0004635511871232759,0.0009410517813739257,0.006444896662136981,0.0005058009131571739,0.0002844651871816109,0.0010378177357520148,0.0012520447601316576,0.0009456454954645077,0.0005164926398685585
SBS60,0.0005247083927306432,0.0005954788452436947,0.0007725454920936928,0.0004719520777284728,0.0009682942436700127,0.0037112639528117243,0.0005361322201544598,0.00040418651444702264,0.0010619570953206957,0.0012943015921886094,0.0011056657314079297,0.0005269997589079929
SBS84,0.00035665864684231564,0.0004354132470201896,0.001179801782338463,0.0003845962054109694,0.0007914139889610943,0.003854279328814122,0.0003981055522131002,0.000310497707497839,0.0008578237163293398,0.0010656664821382018,0.0009334349025765515,0.0004960942068236544
SBS85,0.00047724271084297027,0.0005517570030576343,0.0007330079039342828,0.00043870923685412357,0.0009374663416589778,0.0038186252393191057,0.0004938234251113982,0.00037554653739874024,0.0009734430585925728,0.001219977854512882,0.0010153316194200042,0.0005062706097716589
SBS86,0.0003282695285533457,0.00038782111090055024,0.0006501442556084325,0.0003912713847569089,0.0010490055066463505,0.00867548557492136,0.0003842766655755973,0.0003268603888320207,0.0008349204885177173,0.0010456308765884213,0.0008944171222692212,0.0003528622108682982
SBS87,0.00028686297319188865,0.0003397158979428428,0.0006773230804393757,0.00029648599592353427,0.0007101663564435846,0.0035245328807583906,0.0003440038641632794,0.0002071552792017271,0.00086692495038682,0.0008597463086877254,0.0007225643092353672,0.0002747067199070379
SBS88,0.000455396559888219,0.0005315571859344211,0.0006846770721487478,0.0004106067279352104,0.0008985203676456207,0.0039726491699586634,0.00046605254632698534,0.0003473193793578314,0.0008827399678732544,0.0011595529817476809,0.0009365132073185226,0.00048024395468744194
SBS89,0.00042181849872428666,0.00048655487972327626,0.0007197401324041265,0.0004234754348175692,0.0009202742585607309,0.0035603898163786884,0.0004869584540405507,0.0003659841811146551,0.000992032780786609,0.0012112586625889219,0.0009788803691485918,0.0005030853485337728
