,3'Flank,3'UTR,5'Flank,5'UTR,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site
SBS40c,0.04201508593129241,0.04654240924899031,0.06458673012497819,0.038986266303557046,0.09151679973937693,0.20578483547462775,0.08932579541966094,0.041355573716194506,0.05409008393266803,0.17703212134858706,0.09490828203415418,0.05385601672591271
SBS41,0.04490116646175563,0.048904561791776636,0.06413433359643561,0.0401305697542226,0.09694739696177891,0.20294492343078724,0.09248264512911628,0.040232485491173024,0.056589686442774394,0.17161154665633985,0.09175532811038482,0.04936535617345509
SBS42,0.04245793861535855,0.04726511837099581,0.0658590970424373,0.0381265531551566,0.08684229180344012,0.20763751476516545,0.08989184688151927,0.04045454673036084,0.05231427268195569,0.17820269909279224,0.0998270378874941,0.05112108297332417
SBS43,0.041850781162462596,0.04727984776897937,0.06670841104358952,0.04081506815563992,0.1005972323646381,0.2097016498146057,0.08713652932339676,0.04158563964259824,0.05590299151947701,0.16736474254498118,0.08997824331559194,0.05107886334403951
SBS44,0.04588921421795324,0.049116020364164924,0.06103881554308546,0.03881046131200737,0.08944161746948322,0.20298782427261505,0.09467280555051191,0.037090056579962456,0.060063263943045196,0.16937111580358874,0.09736665720173462,0.05415214774184798
SBS45,6.125894543938549e-05,7.573714695497297e-05,0.00013216116885336355,0.0001003534456587492,0.00011483949904733476,0.25195407519665924,0.13584560787772104,0.00011307159444458373,8.844101266915087e-05,0.5652266853112292,0.04608295633292223,0.00020481246840092652
SBS46,0.03589038853998482,0.045368797472152424,0.05855434640489737,0.03996487220612104,0.08669189131524496,0.2155671531409386,0.11519099258956443,0.06857302529281843,0.06090423455438746,0.16155448040871906,0.06060569504495267,0.05113412303021871
SBS47,0.046545358553698644,0.049568038706165586,0.06533606038775003,0.04073402705102267,0.09372184169008231,0.20165253160083255,0.09331146780883261,0.04022420186378878,0.05705885515973104,0.16822353447324814,0.09330712234039645,0.05031696036445105
SBS48,0.043157675927429785,0.048174626229596264,0.06545023911801012,0.04219046859299849,0.08255831254616028,0.20175522034858975,0.10759860824334155,0.04005922086964526,0.05714862399676632,0.1633465850958434,0.08570255126717069,0.062857867764448
SBS49,0.04610204649707373,0.04587440000985768,0.06967141974910668,0.05089282352562792,0.062338192305634095,0.21446182824488502,0.08431710192731079,0.04126365737813241,0.056172350769591484,0.16418526311812534,0.08614639315901564,0.07857452331563929
